OBJECTID *,Shape *,AIN,APN,AgencyClassNo,AgencyName,AgencyType,UseCode,UseCode_2,UseType,UseDescription,RecDate,RecDocNo,OwnerName,SpecialName,MailStreet,MailAddress,MailCity,MailZip,Roll_Year,Roll_LandValue,Roll_ImpValue,Roll_PersPropValue,Roll_FixtureValue,Roll_HomeOwnersExemp,Roll_LandBaseYear,Roll_ImpBaseYear,LastSaleDate,Assr_Map,Assr_Index_Map,APN,A_ComRedevAg,B_DWP,C_GSDSurplus,D_CAO_Interim,E_PublicWorks,F_Surplus_Consol,G_Nona,H_Wilmington,Shape_Length,Shape_Area
205,Polygon,6132015061,6132-015-061,0,<Null>,<Null>,300V,30,Industrial,Industrial,20051020,2530280,"FRANCIS,ANTHONY", ,ROSECRANS AVE,5155 W ROSECRANS AVE   # 1053,HAWTHORNE CA,90250-6694,2013,277437,0,0,0,0,2006,2006,20051020,6132-015,6132-NDX,6132015061,0,0,0,0,0,0,1,0,384.270618,7916.021796
206,Polygon,6236034270,6236-034-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,54931,0,0,0,0,1978,1978,0,6236-034,6236-NDX,6236034270,0,1,0,0,0,0,0,0,1850.963221,82077.70825
207,Polygon,6137033270,6137-033-270,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,152018,0,0,0,0,1978,1978,0,6137-033,6137-NDX,6137033270,0,1,0,0,0,0,0,0,1540.06441,45787.33001
208,Polygon,6137033272,6137-033-272,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,23359,0,0,0,0,1978,1978,0,6137-033,6137-NDX,6137033272,0,1,0,0,0,0,0,0,337.078998,6863.044539
209,Polygon,6137035270,6137-035-270,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,23359,0,0,0,0,1978,1978,0,6137-035,6137-NDX,6137035270,0,1,0,0,0,0,0,0,306.406165,5865.588926
210,Polygon,6137033271,6137-033-271,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,35072,0,0,0,0,1978,1978,0,6137-033,6137-NDX,6137033271,0,1,0,0,0,0,0,0,479.132114,11290.515
211,Polygon,6137035271,6137-035-271,236924,L A  City Dept of Water & Power,LADWP,300V,30,Industrial,Industrial,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,159063,0,0,0,0,1978,1978,0,6137-035,6137-NDX,6137035271,0,1,0,0,0,0,0,0,1723.037574,51701.88185
212,Polygon,6084003901,6084-003-901,236920,L A  City Dept of Water & Power,LADWP,8100,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19670245,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6084-003,6084-NDX,6084003901,0,1,0,0,0,0,0,0,517.999749,16679.67955
213,Polygon,6084004900,6084-004-900,236920,L A  City Dept of Water & Power,LADWP,8100,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19670245,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6084-004,6084-NDX,6084004900,0,1,0,0,0,0,0,0,796.348501,33380.4877
214,Polygon,6084005900,6084-005-900,236920,L A  City Dept of Water & Power,LADWP,8100,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19670245,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6084-005,6084-NDX,6084005900,0,1,0,0,0,0,0,0,796.177197,33370.4726
215,Polygon,6084006900,6084-006-900,236920,L A  City Dept of Water & Power,LADWP,8100,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19670245,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6084-006,6084-NDX,6084006900,0,1,0,0,0,0,0,0,798.647201,33519.9757
216,Polygon,6242019271,6242-019-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19750101,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,328371,0,0,0,0,1984,1984,0,6242-019,6242-NDX,6242019271,0,1,0,0,0,0,0,0,3030.29115,140107.3242
217,Polygon,6242025271,6242-025-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,81458,0,0,0,0,1978,1978,0,6242-025,6242-NDX,6242025271,0,1,0,0,0,0,0,0,1880.884015,78285.52843
218,Polygon,6242025272,6242-025-272,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,78608,0,0,0,0,1978,1978,0,6242-025,6242-NDX,6242025272,0,1,0,0,0,0,0,0,1062.535057,31850.43034
219,Polygon,6134001270,6134-001-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,178924,0,0,0,0,1978,1978,0,6134-001,6134-NDX,6134001270,0,1,0,0,0,0,0,0,2420.801728,121041.0359
220,Polygon,6134001271,6134-001-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,93542,0,0,0,0,1978,1978,0,6134-001,6134-NDX,6134001271,0,1,0,0,0,0,0,0,1396.683215,62974.91185
221,Polygon,6134008270,6134-008-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,175435,0,0,0,0,1978,1978,0,6134-008,6134-NDX,6134008270,0,1,0,0,0,0,0,0,1892.655518,89112.5528
222,Polygon,6139003270,6139-003-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,36809,0,0,0,0,1978,1978,0,6139-003,6139-NDX,6139003270,0,1,0,0,0,0,0,0,447.394723,11579.98376
223,Polygon,6139004273,6139-004-273,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,208406,0,0,0,0,1978,1978,0,6139-004,6139-NDX,6139004273,0,1,0,0,0,0,0,0,1451.550252,62681.95187
224,Polygon,6139004271,6139-004-271,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,48524,0,0,0,0,1978,1978,0,6139-004,6139-NDX,6139004271,0,1,0,0,0,0,0,0,593.448115,19373.60114
225,Polygon,6086025900,6086-025-900,236000,L A City,LA City,8100,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,PO BOX 51111, PO BOX 51111,LOS ANGELES CA,90051-5700,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6086-025,6086-NDX,6086025900,0,1,0,0,0,0,0,0,730.13366,16506.49065
226,Polygon,6086025270,6086-025-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,23359,0,0,0,0,1978,1978,0,6086-025,6086-NDX,6086025270,0,1,0,0,0,0,0,0,340.041717,7001.7714
227,Polygon,6086027270,6086-027-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,70158,0,0,0,0,1978,1978,0,6086-027,6086-NDX,6086027270,0,1,0,0,0,0,0,0,630.003305,21501.26135
228,Polygon,6086031272,6086-031-272,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,25103,0,0,0,0,1978,1978,0,6086-031,6086-NDX,6086031272,0,1,0,0,0,0,0,0,439.529587,12105.45413
229,Polygon,6086030270,6086-030-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,35072,0,0,0,0,1978,1978,0,6086-030,6086-NDX,6086030270,0,1,0,0,0,0,0,0,436.612488,11828.27436
230,Polygon,6086031273,6086-031-273,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,208785,0,0,0,0,1978,1978,0,6086-031,6086-NDX,6086031273,0,1,0,0,0,0,0,0,3283.233402,166041.2674
231,Polygon,6086028270,6086-028-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,70158,0,0,0,0,1978,1978,0,6086-028,6086-NDX,6086028270,0,1,0,0,0,0,0,0,630.683383,21535.90637
232,Polygon,6234011275,6234-011-275,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,29193,0,0,0,0,1978,1978,0,6234-011,6234-NDX,6234011275,0,1,0,0,0,0,0,0,722.891246,24208.87651
233,Polygon,6234014276,6234-014-276,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19800245,0,L A CITY DEPT WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,3142,0,0,0,0,1980,1980,0,6234-014,6234-NDX,6234014276,0,1,0,0,0,0,0,0,324.662293,5620.207165
234,Polygon,6234014277,6234-014-277,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19800245,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,7559,0,0,0,0,1980,1980,0,6234-014,6234-NDX,6234014277,0,1,0,0,0,0,0,0,656.590589,19347.46175
235,Polygon,6234011274,6234-011-274,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19760000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,287719,0,0,0,0,1978,1978,0,6234-011,6234-NDX,6234011274,0,1,0,0,0,0,0,0,4125.88091,192336.2558
236,Polygon,6234014274,6234-014-274,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19800245,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,29138,0,0,0,0,1980,1980,0,6234-014,6234-NDX,6234014274,0,1,0,0,0,0,0,0,1727.053669,74254.01022
237,Polygon,6234014275,6234-014-275,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19800245,0,L A CITY DEPT WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES CA,90051-0100,2013,1811,0,0,0,0,1980,1980,0,6234-014,6234-NDX,6234014275,0,1,0,0,0,0,0,0,581.910684,6631.1187
238,Polygon,6234019270,6234-019-270,236924,L A  City Dept of Water & Power,LADWP,010V,1,Residential,Single,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,50270,0,0,0,0,1978,1978,0,6234-019,6234-NDX,6234019270,0,1,0,0,0,0,0,0,2694.381143,118763.8383
239,Polygon,6236004270,6236-004-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,23929,0,0,0,0,1978,1978,0,6236-004,6236-NDX,6236004270,0,1,0,0,0,0,0,0,1641.225251,69251.89725
240,Polygon,6236001270,6236-001-270,236924,L A  City Dept of Water & Power,LADWP,890V,89,<Null>,<Null>,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,66638,0,0,0,0,1978,1978,0,6236-001,6236-NDX,6236001270,0,1,0,0,0,0,0,0,3620.542309,168334.0663
241,Polygon,6032004012,6032-004-012,<Null>,<Null>,<Null>,2600,26,Commercial,"Auto, Recreation EQPT, Construction EQPT, Sales & Service",20070409,847843,MCCOOL JOHNNY SR AND MARTHA TRS, ,BULLIS RD,12621 BULLIS RD,LYNWOOD CA,90262-5112,2013,69743,24491,0,0,0,1990,1990,19890914,6032-004,6032-NDX,6032004012,0,0,0,0,0,0,1,0,278.527467,4842.871173
242,Polygon,6032012904,6032-012-904,236000,L A City,LA City,8800,88,Government,Government Parcel,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6032-012,6032-NDX,6032012904,1,0,0,0,0,0,0,0,451.722264,8410.4783
243,Polygon,6032012905,6032-012-905,236000,L A City,LA City,8800,88,Government,Government Parcel,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,19570627,6032-012,6032-NDX,6032012905,1,0,0,0,0,0,0,0,752.665487,35326.30745
244,Polygon,6032012001,6032-012-001,<Null>,<Null>,<Null>,100V,10,Commercial,Commercial,19931228,2522436,8400 S VERMONT AVENUE L P, ,ARKELL DR,620 ARKELL DR,BEVERLY HILLS CA,90210-1907,2013,121276,0,0,0,0,1986,1986,19850703,6032-012,6032-NDX,6032012001,0,0,0,0,0,0,1,0,488.984562,11553.086
245,Polygon,6032013905,6032-013-905,236100,Community Dev Commission of Los Angeles City,LA City,100V,10,Commercial,Commercial,20121204,<Null>,COMMUNITY REDEVELOPMENT AGENCY, ,7TH ST,1200 W 7TH ST   2ND FL,LOS ANGELES CA,90017-2766,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,19771125,6032-013,6032-NDX,6032013905,1,0,0,0,0,0,1,0,380.993465,8031.4131
246,Polygon,6057010902,6057-010-902,236920,L A  City Dept of Water & Power,LADWP,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY DEPT OF WATER AND POWER,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6057-010,6057-NDX,6057010902,0,1,0,0,0,0,0,0,4023.026936,363582.1004
247,Polygon,6054003902,6054-003-902,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6054-003,6054-NDX,6054003902,0,1,0,0,0,0,0,0,530.931286,7236.668465
248,Polygon,6054004900,6054-004-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6054-004,6054-NDX,6054004900,0,1,0,0,0,0,0,0,452.137284,6053.672364
249,Polygon,6054003900,6054-003-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6054-003,6054-NDX,6054003900,0,1,0,0,0,0,0,0,132.889484,1264.937098
250,Polygon,6054004902,6054-004-902,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6054-004,6054-NDX,6054004902,0,1,0,0,0,0,0,0,132.846149,1264.348326
251,Polygon,6054003901,6054-003-901,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6054-003,6054-NDX,6054003901,0,1,0,0,0,0,0,0,525.945405,7160.745536
252,Polygon,6054004901,6054-004-901,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6054-004,6054-NDX,6054004901,0,1,0,0,0,0,0,0,452.266915,6055.631892
253,Polygon,6075011020,6075-011-020,0,<Null>,<Null>,100V,10,Commercial,Commercial,20100726,1017318,GAF MANAGEMENT LLC, ,HOLLYWOOD BLVD,6368 HOLLYWOOD BLVD   2ND FL,LOS ANGELES CA,90028-6320,2013,156154,0,0,0,0,2004,2004,20031106,6075-011,6075-NDX,6075011020,0,0,0,0,0,0,1,0,488.429406,11440.8345
254,Polygon,6054023900,6054-023-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6054-023,6054-NDX,6054023900,0,1,0,0,0,0,0,0,678.125505,9443.595188
255,Polygon,6054023901,6054-023-901,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6054-023,6054-NDX,6054023901,0,1,0,0,0,0,0,0,426.632668,4941.368104
256,Polygon,6054025900,6054-025-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6054-025,6054-NDX,6054025900,0,1,0,0,0,0,0,0,937.797554,13338.15111
257,Polygon,6054025901,6054-025-901,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6054-025,6054-NDX,6054025901,0,1,0,0,0,0,0,0,122.955183,1114.878972
258,Polygon,6018003033,6018-003-033,<Null>,<Null>,<Null>,010V,1,Residential,Single,20120927,1456999,"WILLIAMS,THERESA M AND", ,BRADLEY PL,6416 BRADLEY PL,LOS ANGELES CA,90056-1521,2013,37439,0,0,0,0,2000,2000,20000626,6018-003,6018-NDX,6018003033,0,0,0,0,0,0,1,0,296.222977,3543.3177
259,Polygon,6037001900,6037-001-900,236000,L A City,LA City,100V,10,Commercial,Commercial,20130524,<Null>,L A CITY,C/O HOUSING DEPT,7TH ST,1200 W 7TH ST   STE 901,LOS ANGELES CA,90017-6400,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6037-001,6037-NDX,6037001900,1,0,0,0,0,0,0,0,560.283868,19520.53145
260,Polygon,6054031901,6054-031-901,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6054-031,6054-NDX,6054031901,0,1,0,0,0,0,0,0,122.715719,1112.349343
261,Polygon,6054031900,6054-031-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6054-031,6054-NDX,6054031900,0,1,0,0,0,0,0,0,942.433036,13408.07687
262,Polygon,6054031903,6054-031-903,236009,L A City S by S,LA City,8800,88,Government,Government Parcel,19630507,<Null>,L A CITY S BY S, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6054-031,6054-NDX,6054031903,0,0,1,0,0,0,0,0,95.020065,300.237
263,Polygon,6054031902,6054-031-902,236009,L A City S by S,LA City,8800,88,Government,Government Parcel,19600404,<Null>,L A CITY S BY S, , ,, ,0,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6054-031,6054-NDX,6054031902,0,0,1,0,0,0,0,0,95.000053,299.9996
264,Polygon,6055012270,6055-012-270,236924,L A  City Dept of Water & Power,LADWP,810V,81,Miscellaneous,Utility Commercial & Mutual: Pumping Plants State Assessed Pr,19700000,0,L A CITY DEPT OF WATER AND POWER, ,P O BOX 51111  RM 633, P O BOX 51111  RM 633,LOS ANGELES  CA,90051-0100,2013,33898,0,0,0,0,1978,1978,0,6055-012,6055-NDX,6055012270,0,1,0,0,0,0,0,0,1128.706136,15473.88045
265,Polygon,6037021017,6037-021-017,<Null>,<Null>,<Null>,1100,11,Commercial,Stores,19940711,1293848,"HAICK,WILFRED E AND NELLIE", ,GAINSBOROUGH AVE,4622 GAINSBOROUGH AVE,LOS ANGELES CA,90027-1229,2013,94895,53556,0,0,0,1995,1995,19940711,6037-021,6037-NDX,6037021017,0,0,0,0,0,0,1,0,284.160159,4449.378
266,Polygon,6055016901,6055-016-901,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6055-016,6055-NDX,6055016901,0,1,0,0,0,0,0,0,613.861899,8476.98202
267,Polygon,6055016900,6055-016-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6055-016,6055-NDX,6055016900,0,1,0,0,0,0,0,0,614.855323,8494.527184
268,Polygon,6055020901,6055-020-901,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6055-020,6055-NDX,6055020901,0,1,0,0,0,0,0,0,570.860503,7834.633856
269,Polygon,6055021900,6055-021-900,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6055-021,6055-NDX,6055021900,0,1,0,0,0,0,0,0,560.857714,7684.54107
270,Polygon,6055021902,6055-021-902,236000,L A City,LA City,8800,88,Government,Government Parcel,19670245,<Null>,L A CITY,REAL EST BUS GROUP - JUNE,P O BOX 51111, P O BOX 51111,LOS ANGELES  CA,90051-0100,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,0,0,0,6055-021,6055-NDX,6055021902,0,1,0,0,0,0,0,0,122.833958,1114.186971
